"Report_Name","Journal Article Requests"
"Report_ID","IR_A1"
"Release","5"
"Institution_Name","Stanford University"
"Institution_ID","rsc:2472"
"Metric_Types","Total_Item_Requests"
"Report_Filters","Data_Type=Journal|Article; Section_Type=Article; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created","2018-08-22"
"Created_By","MPS"

"Item","Publisher","Publisher_ID","Platform","Authors","Publication_Date","Article_Version","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Parent_Title","Parent_Data_Type","Parent_DOI","Parent_Proprietary_ID","Parent_ISBN","Parent_Print_ISSN","Parent_Online_ISSN","Parent_URI","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018","Jun-2018"
"Microfabricated Flow Chamber for Fluorescence-based Chemistries and  Stopped-flow Injection Cytometry","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","1997","0","10.1039/a701750b","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"Determination of the content and identity of lidocaine solutions with UV–visible spectroscopy and multivariate calibration","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2001","0","10.1039/b102545g","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","3","0","0","0","0","0","3"
"Magnetic bead-based label-free electrochemical detection of DNA hybridization","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2001","0","10.1039/b106343j","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"Recent advances in biologically sensitive field-effect transistors (BioFETs)","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2002","0","10.1039/b204444g","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","3","0","0","0","0","0","3"
"Gold and silver nanoparticles: A class of chromophores with colors tunable in the range from 400 to 750 nm","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2003","0","10.1039/b212437h","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Nanomaterial-based electrochemical biosensors","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2005","0","10.1039/b414248a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Practical considerations associated with voltammetric studies in room temperature ionic liquids","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2005","0","10.1039/b504721h","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Robotic sequential analysis of a library of metalloporphyrins as electrocatalysts for voltammetric nitric oxide sensors","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2005","0","10.1039/b505284j","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Micro-Raman spectroscopic identification of bacterial cells of the genus Staphylococcus and dependence on their cultivation conditions","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2005","0","10.1039/b507715j","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","3","0","0","0","0","0","3"
"All-solid-state reference electrodes based on conducting polymers","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2005","0","10.1039/b510868c","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Detection of trace materials with Fourier transform infrared spectroscopy using a multi-channel detector","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2006","0","10.1039/b511243e","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"NMR studies of organic polymorphs &amp; solvates","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2006","0","10.1039/b516057j","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Fingerprinting a killer: surveillance of the influenza virus by mass spectrometry","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2007","0","10.1039/b701835e","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"High throughput screening arrays of rhodium and iridium complexes as catalysts for intramolecular hydroamination using parallel factor analysis","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2008","0","10.1039/b719501j","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Measurement of elastic properties of prostate cancer cells using AFM","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2008","0","10.1039/b803355b","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","3","0","0","0","0","0","3"
"Novel fluorescence enhancement IgE assay using a DNA aptamer","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2009","0","10.1039/b812450g","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Magnetic bead-based DNA hybridization assay with chemiluminescence and chemiluminescent imaging detection","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2009","0","10.1039/b819990f","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Raman and CARS microspectroscopy of cells and tissues","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2009","0","10.1039/b822354h","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","3","0","0","0","0","0","3"
"Fluorescence anisotropy: from single molecules to live cells","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/b920242k","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Direct analysis of lipids and small metabolites in mouse brain tissue by AP IR-MALDI and reactive LAESI mass spectrometry","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/b922854c","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"Intracellular magnesium detection: imaging a brighter future","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/c0an00087f","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"A cyclic enzymatic amplification method for sensitive and selective detection of nucleic acids","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/c0an00215a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Direct measurement of the in vitro hemoglobin content of erythrocytes using the photo-thermal effect of the heme group","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/c0an00235f","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Protease sensing with nanoparticle based platforms","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c0an00429d","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Modern analytical techniques in metabolomics analysis","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c1an15605e","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","3","0","0","0","0","0","3"
"Gold patterned biochips for on-chip immuno-MALDI-TOF MS: SPR imaging coupled multi-protein MS analysis","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c1an15659d","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Peroxidase-like activity of water-soluble cupric oxide nanoparticles and its analytical application for detection of hydrogen peroxide and glucose","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2an35072f","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Demonstration of a plasmonic thermocycler for the amplification of human androgen receptor DNA","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2an35692a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","4","0","0","0","0","0","4"
"Tattoo-based potentiometric ion-selective sensors for epidermal pH monitoring","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c2an36422k","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Label-free imaging of mammalian cell nucleoli by Raman microspectroscopy","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c3an00118k","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Isotachophoresis with ionic spacer and two-stage separation for high sensitivity DNA hybridization assay","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c3an00374d","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","6","0","0","0","0","0","6"
"A coumarin–indole-based near-infrared ratiometric pH probe for intracellular fluorescence imaging","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c3an01033c","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Techniques and methodologies in modern electrocatalysis: evaluation of activity, selectivity and stability of catalytic materials","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2014","0","10.1039/c3an01647a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"Advances in nanowire transistors for biological analysis and cellular investigation","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2014","0","10.1039/c3an01861j","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"Blood and breath levels of selected volatile organic compounds in healthy volunteers","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c3an36756h","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Microfluidic approaches for epithelial cell layer culture and characterisation","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2014","0","10.1039/c4an00056k","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"A cascade signal amplification strategy for sensitive and label-free DNA detection based on Exo III-catalyzed recycling coupled with rolling circle amplification","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2014","0","10.1039/c4an00389f","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Increasing the sensitivity of microfluidics based immunoassays using isotachophoresis","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2014","0","10.1039/c4an00545g","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","3","0","0","0","0","0","3"
"An accurate and transferable protocol for reproducible quantification of organic pollutants in human serum using direct isotope dilution mass spectrometry","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2014","0","10.1039/c4an00851k","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Concentration dependence of translational diffusion coefficients for globular proteins","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2014","0","10.1039/c4an01060d","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Characterizing aptamer small molecule interactions with backscattering interferometry","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2014","0","10.1039/c4an01227e","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"An adaptable stage perfusion incubator for the controlled cultivation of C2C12 myoblasts","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4an01758g","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"Gold nanoparticles as a substrate in bio-analytical near-infrared surface-enhanced Raman spectroscopy","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4an01899k","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"A rapid response “Turn-On” fluorescent probe for nitroreductase detection and its application in hypoxic tumor cell imaging","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4an01934b","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"A review of the effects of FSCV and microdialysis measurements on dopamine release in the surrounding tissue","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4an02065k","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
