"Report_Name"	"Platform Master Report"
"Report_ID"	"PR"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Searches_Platform; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests"
"Report_Filters"	""
"Report_Attributes"	"Attributes_To_Show=YOP|Data_Type|Access_Type|Access_Method"
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Platform"	"YOP"	"Data_Type"	"Access_Type"	"Access_Method"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"rsc.org"	"0"	"Platform"	"Controlled"	"Regular"	"Searches_Platform"	"3730"	"0"	"0"	"0"	"0"	"0"	"3730"
"rsc.org"	"0"	"Platform"	"Controlled"	"Regular"	"Total_Item_Investigations"	"16712"	"0"	"0"	"0"	"0"	"0"	"16712"
"rsc.org"	"0"	"Platform"	"Controlled"	"Regular"	"Total_Item_Requests"	"10184"	"0"	"0"	"0"	"0"	"0"	"10184"
"rsc.org"	"0"	"Platform"	"Controlled"	"Regular"	"Unique_Item_Investigations"	"13378"	"0"	"0"	"0"	"0"	"0"	"13378"
"rsc.org"	"0"	"Platform"	"Controlled"	"Regular"	"Unique_Item_Requests"	"7835"	"0"	"0"	"0"	"0"	"0"	"7835"
"rsc.org"	"0"	"Platform"	"Controlled"	"Regular"	"Unique_Title_Investigations"	"11185"	"0"	"0"	"0"	"0"	"0"	"11185"
"rsc.org"	"0"	"Platform"	"Controlled"	"Regular"	"Unique_Title_Requests"	"6694"	"0"	"0"	"0"	"0"	"0"	"6694"
