"Report_Name"	"Title Master Report"
"Report_ID"	"TR"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Searches_Automated; Searches_Federated; Searches_Regular; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Title_Investigations; Limit_Exceeded; No_License"
"Report_Filters"	""
"Report_Attributes"	"Attributes_To_Show=YOP|Data_Type|Access_Type|Access_Method"
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Title"	"Publisher"	"Publisher_ID"	"Platform"	"DOI"	"Proprietary_ID"	"ISBN"	"Print_ISSN"	"Online_ISSN"	"URI"	"Data_Type"	"Section_Type"	"YOP"	"Access_Type"	"Access_Method"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"Nanostructured Catalysts: Selective Oxidations"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847559876"	""	"978-1-84755-987-6"	"978-0-85404-186-2"	"1757-7144"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Nanostructured Catalysts: Selective Oxidations"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847559876"	""	"978-1-84755-987-6"	"978-0-85404-186-2"	"1757-7144"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Nanostructured Catalysts: Selective Oxidations"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847559876"	""	"978-1-84755-987-6"	"978-0-85404-186-2"	"1757-7144"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Nanostructured Catalysts: Selective Oxidations"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847559876"	""	"978-1-84755-987-6"	"978-0-85404-186-2"	"1757-7144"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Nanostructured Catalysts: Selective Oxidations"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847559876"	""	"978-1-84755-987-6"	"978-0-85404-186-2"	"1757-7144"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Nanostructured Catalysts: Selective Oxidations"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847559876"	""	"978-1-84755-987-6"	"978-0-85404-186-2"	"1757-7144"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Principles of Environmental Chemistry"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847557780"	""	"978-1-84755-778-0"	"978-0-85404-371-2"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Principles of Environmental Chemistry"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847557780"	""	"978-1-84755-778-0"	"978-0-85404-371-2"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Principles of Environmental Chemistry"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847557780"	""	"978-1-84755-778-0"	"978-0-85404-371-2"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Principles of Environmental Chemistry"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847557780"	""	"978-1-84755-778-0"	"978-0-85404-371-2"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
