"Report_Name"	"Book Usage by Access Type"
"Report_ID"	"TR_B3"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_investigations; Unique_Title_Requests"
"Report_Filters"	"Data_Type=Book; Access_Method=Regular"
"Report_Attributes"	"Attributes_To_Show=Access_Type"
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Title"	"Publisher"	"Publisher_ID"	"Platform"	"DOI"	"Proprietary_ID"	"ISBN"	"Print_ISSN"	"Online_ISSN"	"URI"	"Access_Type"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"Nanostructured Catalysts: Selective Oxidations"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847559876"	""	"978-1-84755-987-6"	"978-0-85404-186-2"	"1757-7144"	""	"Controlled"	"Total_Item_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Nanostructured Catalysts: Selective Oxidations"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847559876"	""	"978-1-84755-987-6"	"978-0-85404-186-2"	"1757-7144"	""	"Controlled"	"Total_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Nanostructured Catalysts: Selective Oxidations"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847559876"	""	"978-1-84755-987-6"	"978-0-85404-186-2"	"1757-7144"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Nanostructured Catalysts: Selective Oxidations"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847559876"	""	"978-1-84755-987-6"	"978-0-85404-186-2"	"1757-7144"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Nanostructured Catalysts: Selective Oxidations"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847559876"	""	"978-1-84755-987-6"	"978-0-85404-186-2"	"1757-7144"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Nanostructured Catalysts: Selective Oxidations"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847559876"	""	"978-1-84755-987-6"	"978-0-85404-186-2"	"1757-7144"	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Principles of Environmental Chemistry"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847557780"	""	"978-1-84755-778-0"	"978-0-85404-371-2"	""	""	"Controlled"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Principles of Environmental Chemistry"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847557780"	""	"978-1-84755-778-0"	"978-0-85404-371-2"	""	""	"Controlled"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Principles of Environmental Chemistry"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847557780"	""	"978-1-84755-778-0"	"978-0-85404-371-2"	""	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Principles of Environmental Chemistry"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847557780"	""	"978-1-84755-778-0"	"978-0-85404-371-2"	""	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Principles of Environmental Chemistry"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847557780"	""	"978-1-84755-778-0"	"978-0-85404-371-2"	""	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Principles of Environmental Chemistry"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847557780"	""	"978-1-84755-778-0"	"978-0-85404-371-2"	""	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Organic Synthesis: The Science Behind the Art"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847551573"	""	"978-1-84755-157-3"	"978-0-85404-544-0"	""	""	"Controlled"	"Total_Item_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
