"Report_Name"	"Journal Requests (Excluding OA_Gold)"
"Report_ID"	"TR_J1"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Total_Item_Requests; Unique_Item_Requests"
"Report_Filters"	"Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes"	""
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Title"	"Publisher"	"Publisher_ID"	"Platform"	"DOI"	"Proprietary_ID"	"Print_ISSN"	"Online_ISSN"	"URI"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"Analytical Proceedings including Analytical Communications"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0144-557X"	""	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Analytical Proceedings including Analytical Communications"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0144-557X"	""	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"RSC Journals Archive 1841-1996"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	""	""	"Total_Item_Requests"	"53"	"0"	"0"	"0"	"0"	"0"	"53"
"RSC Journals Archive 1841-1996"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	""	""	"Unique_Item_Requests"	"52"	"0"	"0"	"0"	"0"	"0"	"52"
"The Analyst"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1364-5528/1876"	""	"0003-2654"	"1364-5528"	""	"Total_Item_Requests"	"158"	"0"	"0"	"0"	"0"	"0"	"158"
"The Analyst"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1364-5528/1876"	""	"0003-2654"	"1364-5528"	""	"Unique_Item_Requests"	"129"	"0"	"0"	"0"	"0"	"0"	"129"
"Analytical Methods"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1759-9679/2009"	""	"1759-9660"	"1759-9679"	""	"Total_Item_Requests"	"40"	"0"	"0"	"0"	"0"	"0"	"40"
"Analytical Methods"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1759-9679/2009"	""	"1759-9660"	"1759-9679"	""	"Unique_Item_Requests"	"36"	"0"	"0"	"0"	"0"	"0"	"36"
"Biomaterials Science"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2047-4849/2013"	""	"2047-4830"	"2047-4849"	""	"Total_Item_Requests"	"55"	"0"	"0"	"0"	"0"	"0"	"55"
"Biomaterials Science"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2047-4849/2013"	""	"2047-4830"	"2047-4849"	""	"Unique_Item_Requests"	"46"	"0"	"0"	"0"	"0"	"0"	"46"
"Chemical Communications (London)"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0009-241X"	""	"Total_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Chemical Communications (London)"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0009-241X"	""	"Unique_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Journal of the Chemical Society D: Chemical Communications"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0577-6171"	""	"Total_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Journal of the Chemical Society D: Chemical Communications"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0577-6171"	""	"Unique_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Journal of the Chemical Society, Chemical Communications"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0022-4936"	""	"Total_Item_Requests"	"59"	"0"	"0"	"0"	"0"	"0"	"59"
