"Report_Name","Database Search and Item Usage Report"
"Report_ID","DR_D1"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Searches_Automated;  Searches_Federated; Searches_Regular; Total_Item_Investigations; Total_Item_Requests"
"Report_Filters","Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Database","Publisher","Publisher_ID","Platform","Proprietary_ID","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"","","","","Merck","Searches_Regular","1","0","0","0","1","0"
"The Merck Index Online","","","rsc.org","","Total_Item_Investigations","0","0","0","0","0","0"
"The Merck Index Online","","","rsc.org","","Total_Item_Requests","0","0","0","0","0","0"
