"Report_Name","Journal Article Requests"
"Report_ID","IR_A1"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Requests"
"Report_Filters","Data_Type=Journal|Article; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Item","Publisher","Publisher_ID","Platform","Authors","Publication_Date","Article_Version","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Parent_Title","Parent_Data_Type","Parent_DOI","Parent_Proprietary_ID","Parent_ISBN","Parent_Print_ISSN","Parent_Online_ISSN","Parent_URI","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Metal reductions of malonates and oxalates. A covenient decarboxylation route for disubstituted malonates and synthesis of keten acetals","","","rsc.org","Royal Society of Chemistry","1971","","10.1039/C29710000136","","","","","","Journal of the Chemical Society D: Chemical Communications","Journal","","","","","0577-6171","","Total_Item_Requests","1","0","0","0","1","0"
"The use of (cyclo-octadiene)(cyclo-octatriene)ruthenium(0) as the starting material for the synthesis of mono- and poly-nuclear ruthenium polyhydride phosphine complexes","","","rsc.org","Royal Society of Chemistry","1982","","10.1039/C39820001388","","","","","","Journal of the Chemical Society, Chemical Communications","Journal","","","","","0022-4936","","Total_Item_Requests","1","0","0","0","1","0"
"Synthesis of gmelinite and ZSM-12 zeolites with a polymer template","","","rsc.org","Royal Society of Chemistry","1988","","10.1039/C39880000920","","","","","","Journal of the Chemical Society, Chemical Communications","Journal","","","","","0022-4936","","Total_Item_Requests","1","0","0","0","1","0"
"1-Alkyl-4-fluoro-1,4-diazoniabicyclo[2.2.2]octane salts: a novel family of electrophilic fluorinating agents","","","rsc.org","Royal Society of Chemistry","1992","","10.1039/C39920000595","","","","","","Journal of the Chemical Society, Chemical Communications","Journal","","","","","0022-4936","","Total_Item_Requests","1","0","0","0","1","0"
"LXXX.—Hydroxylamine platinum bases","","","rsc.org","Royal Society of Chemistry","1918","","10.1039/CT9181300884","","","","","","Journal of the Chemical Society, Transactions","Journal","","","","","0368-1645","","Total_Item_Requests","3","0","0","0","2","1"
"Autocatalytic reduction of a bis(dimethylglyoxime) complex of rhodium(III) in alkaline aqueous ethanol","","","rsc.org","Royal Society of Chemistry","1972","","10.1039/DT9720002469","","","","","","Dalton Transactions","Journal","10.1039/1477-9234/2003","","","1477-9226","1477-9234","","Total_Item_Requests","1","0","0","0","1","0"
"Iridium nitrosyl and carbonyl complexes with 2-pyridinecarbaldehyde azines","","","rsc.org","Royal Society of Chemistry","1986","","10.1039/DT9860002669","","","","","","RSC Journals Archive 1841-1996","Journal","","","","","","","Total_Item_Requests","0","0","0","0","0","0"
"Reaction between ammonia and nitrogen dioxide","","","rsc.org","Royal Society of Chemistry","1972","","10.1039/F19726802163","","","","","","Journal of the Chemical Society, Faraday Transactions 1","Journal","","","","","0300-9599","","Total_Item_Requests","1","0","0","0","1","0"
"Transition metal ion exchange in zeolites. Part 4.—Exchange of hydrated and amminated silver in sodium X and Y zeolites and mordenite","","","rsc.org","Royal Society of Chemistry","1981","","10.1039/F19817700497","","","","","","RSC Journals Archive 1841-1996","Journal","","","","","","","Total_Item_Requests","0","0","0","0","0","0"
"Direct hydrothermal conversion of cubic P zeolite to organozeolite SSZ-13","","","rsc.org","Royal Society of Chemistry","1990","","10.1039/FT9908603467","","","","","","Journal of the Chemical Society, Faraday Transactions","Journal","","","","1364-5455","0956-5000","","Total_Item_Requests","2","0","0","0","2","0"
"Modified zinc oxide absorbents for low-temperature gas desulfurisation","","","rsc.org","Royal Society of Chemistry","1992","","10.1039/FT9928803375","","","","","","Journal of the Chemical Society, Faraday Transactions","Journal","","","","1364-5455","0956-5000","","Total_Item_Requests","1","0","0","0","1","0"
"Room-temperature catalytic fluorination of C1 and C2 chlorocarbons and chlorohydrocarbons on fluorinated Fe3O4 and Co3O4","","","rsc.org","Royal Society of Chemistry","1994","","10.1039/FT9949003585","","","","","","Journal of the Chemical Society, Faraday Transactions","Journal","","","","1364-5455","0956-5000","","Total_Item_Requests","1","0","0","0","1","0"
"Pyridine and ammonia as probes for FTIR analysis of solid acid catalysts","","","rsc.org","Royal Society of Chemistry","1996","","10.1039/FT9969201401","","","","","","Journal of the Chemical Society, Faraday Transactions","Journal","","","","1364-5455","0956-5000","","Total_Item_Requests","1","0","0","0","0","1"
"An FTIR study of surface ceria hydroxy groups during a redox process with H2","","","rsc.org","Royal Society of Chemistry","1996","","10.1039/FT9969204669","","","","","","Journal of the Chemical Society, Faraday Transactions","Journal","","","","1364-5455","0956-5000","","Total_Item_Requests","1","0","0","0","1","0"
"IR spectroscopy of neutral and ionic hydrogen-bonded complexes formed upon interaction of CH3OH, C2H5OH, (CH3)2O, (C2H5)2O and C4H8O with H-Y, H-","","","rsc.org","Royal Society of Chemistry","1996","","10.1039/FT9969204863","","","","","","RSC Journals Archive 1841-1996","Journal","","","","","","","Total_Item_Requests","0","0","0","0","0","0"
"Molecular and crystal structure of potassium bisacetylacetonatochloroplatinate(II)","","","rsc.org","Royal Society of Chemistry","1969","","10.1039/J19690000485","","","","","","Journal of the Chemical Society A: Inorganic, Physical, Theoretical","Journal","","","","","0022-4944","","Total_Item_Requests","1","0","0","0","1","0"
"Solutions of soaps in organic solvents","","","rsc.org","Royal Society of Chemistry","1971","","10.1039/J19710001514","","","","","","Journal of the Chemical Society A: Inorganic, Physical, Theoretical","Journal","","","","","0022-4944","","Total_Item_Requests","1","0","0","0","1","0"
"The hydrogenation catalyst made from chloroplatinic acid and triethylsilane","","","rsc.org","Royal Society of Chemistry","1969","","10.1039/J39690002823","","","","","","RSC Journals Archive 1841-1996","Journal","","","","","","","Total_Item_Requests","0","0","0","0","0","0"
"123. Synthetic applications of activated metal catalysts. Part II. The formation of heterocyclic diaryls","","","rsc.org","Royal Society of Chemistry","1956","","10.1039/JR9560000616","","","","","","Journal of the Chemical Society (Resumed)","Journal","","","","","0368-1769","","Total_Item_Requests","1","0","0","0","1","0"
"847. Infrared spectra of some nitrato-co-ordination complexes","","","rsc.org","Royal Society of Chemistry","1957","","10.1039/JR9570004222","","","","","","Journal of the Chemical Society (Resumed)","Journal","","","","","0368-1769","","Total_Item_Requests","1","0","0","0","1","0"
"765. Metallo-organic compounds containing metal–nitrogen bonds. Part I. Some dialkylamino-derivatives of titanium and zirconium","","","rsc.org","Royal Society of Chemistry","1960","","10.1039/JR9600003857","","","","","","Journal of the Chemical Society (Resumed)","Journal","","","","","0368-1769","","Total_Item_Requests","3","0","0","0","1","2"
"Elemental fluorine. Part 6. Fluorination of cyclic 1,3-diketones and related compounds","","","rsc.org","Royal Society of Chemistry","1996","","10.1039/P19960002271","","","","","","Journal of the Chemical Society, Perkin Transactions 1","Journal","","","","1364-5463","1472-7781","","Total_Item_Requests","6","0","0","0","2","4"
"Ring inversion equilibria in 4-chloro-, 4-bromo-, and 4-methoxy-1-alkylpiperidines in a non-polar solvent","","","rsc.org","Royal Society of Chemistry","1984","","10.1039/P29840000737","","","","","","Journal of the Chemical Society, Perkin Transactions 2","Journal","","","","1364-5471","1472-779X","","Total_Item_Requests","2","0","0","0","1","1"
"Role of the A  1,3 allylic interaction on the stereochemistry of formation of Schiff's bases derived from bicyclo[2.2.1]hept-5-en-2-one and 7-oxabicyclo[2.2.1]hept-5-en-2-one","","","rsc.org","Royal Society of Chemistry","1988","","10.1039/P29880000865","","","","","","Journal of the Chemical Society, Perkin Transactions 2","Journal","","","","1364-5471","1472-779X","","Total_Item_Requests","1","0","0","0","1","0"
"Proceedings of the Chemical Society. May 1958","","","rsc.org","Royal Society of Chemistry","1958","","10.1039/PS9580000125","","","","","","Proceedings of the Chemical Society","Journal","","","","","0369-8718","","Total_Item_Requests","2","0","0","0","2","0"
"Concentration cells and electrolysis of sodium ethoxide solutions","","","rsc.org","Royal Society of Chemistry","1924","","10.1039/TF9241900721","","","","","","Transactions of the Faraday Society","Journal","","","","","0014-7672","","Total_Item_Requests","1","0","0","0","1","0"
"Kinetics of ion-exchange","","","rsc.org","Royal Society of Chemistry","1969","","10.1039/TF9696502728","","","","","","RSC Journals Archive 1841-1996","Journal","","","","","","","Total_Item_Requests","0","0","0","0","0","0"
"Oxidation and reduction of nickel hydroxide at constant potential","","","rsc.org","Royal Society of Chemistry","1971","","10.1039/TF9716702397","","","","","","RSC Journals Archive 1841-1996","Journal","","","","","","","Total_Item_Requests","1","0","0","0","1","0"
"Studies of particle drying using non-invasive Raman spectrometry and particle size analysis","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c0an00893a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","1","0"
"New directions in screen printed electroanalytical sensors: an overview of recent developments","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c0an00894j","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","1","0"
"Carbon quantum dots directly generated from electrochemical oxidation of graphite electrodes in alkaline alcohols and the applications for specific ferric ion detection and cell imaging","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c5an02231b","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","0","0","0","0","0","0"
"Electrolytically fabricated nickel microrods on screen printed graphite electrodes: Electro-catalytic oxidation of alcohols","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c0ay00527d","","","1759-9660","1759-9679","","Analytical Methods","Journal","10.1039/1759-9679/2009","","","1759-9660","1759-9679","","Total_Item_Requests","0","0","0","0","0","0"
"Principal component analysis","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3ay41907j","","","1759-9660","1759-9679","","Analytical Methods","Journal","10.1039/1759-9679/2009","","","1759-9660","1759-9679","","Total_Item_Requests","1","0","0","0","1","0"
"On-demand generation of singlet oxygen from a smart graphene complex for the photodynamic treatment of cancer cells","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4bm00143e","","","2047-4830","2047-4849","","Biomaterials Science","Journal","10.1039/2047-4849/2013","","","2047-4830","2047-4849","","Total_Item_Requests","1","0","0","0","1","0"
"Chameleon catches in combinatorial chemistry: Tebbe olefination of polymer supported esters and the synthesis of amines, cyclohexanones, enones, methyl ketones and thiazoles","","","rsc.org","Royal Society of Chemistry","1998","","10.1039/a805874a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","2","0"
"Zoned MFI films by seeding","","","rsc.org","Royal Society of Chemistry","2001","","10.1039/b009414p","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Al distribution in ZSM-5 zeolites: an experimental study","","","rsc.org","Royal Society of Chemistry","2001","","10.1039/b009589n","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
