Report_Name,Journal Requests (Excluding OA_Gold),,,,,,,,,,,,,,
Report_ID,TR_J1,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,
Institution_Name,,,,,,,,,,,,,,,
Institution_ID,mu-0000036,,,,,,,,,,,,,,
Metric_Types,Total_Item_Requests; Unique_Item_Requests,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular,,,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,
Reporting_Period,2018-01-01 to 2018-05-31,,,,,,,,,,,,,,
Created,03-07-2018,,,,,,,,,,,,,,
Created_By,MPS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Metric_Type,Reporting_Period_Total,Jan-18,Feb-18,Mar-18,Apr-18,May-18
Analytical Communications,Royal Society of Chemistry,,rsc.org,,,1364-5536,1359-7337,,Total_Item_Requests,28888,0,0,0,0,0
Analytical Communications,Royal Society of Chemistry,,rsc.org,,,1364-5536,1359-7337,,Unique_Item_Requests,234234,0,0,0,0,0
RSC Journals Archive 1841-1996,Royal Society of Chemistry,,rsc.org,,,,,,Total_Item_Requests,23434,0,0,0,4,11
RSC Journals Archive 1841-1996,Royal Society of Chemistry,,rsc.org,,,,,,Unique_Item_Requests,23432,0,0,0,4,11
The Analyst,Royal Society of Chemistry,,rsc.org,10.1039/1364-5528/1876,,Mar-54,1364-5528,,Total_Item_Requests,324,0,0,0,4,1
The Analyst,Royal Society of Chemistry,,rsc.org,10.1039/1364-5528/1876,,Mar-54,1364-5528,,Unique_Item_Requests,5,0,0,0,4,1
Analytical Proceedings,Royal Society of Chemistry,,rsc.org,,,,0144-557X,,Total_Item_Requests,0,0,0,0,0,0
Analytical Proceedings,Royal Society of Chemistry,,rsc.org,,,,0144-557X,,Unique_Item_Requests,0,0,0,0,0,0
Analytical Methods,Royal Society of Chemistry,,rsc.org,10.1039/1759-9679/2009,,1759-9660,1759-9679,,Total_Item_Requests,7,0,0,0,3,4
Analytical Methods,Royal Society of Chemistry,,rsc.org,10.1039/1759-9679/2009,,1759-9660,1759-9679,,Unique_Item_Requests,6,0,0,0,3,3
Biomaterials Science,Royal Society of Chemistry,,rsc.org,10.1039/2047-4849/2013,,2047-4830,2047-4849,,Total_Item_Requests,2,0,0,0,1,1
Biomaterials Science,Royal Society of Chemistry,,rsc.org,10.1039/2047-4849/2013,,2047-4830,2047-4849,,Unique_Item_Requests,2,0,0,0,1,1
