"Report_Name","Journal Usage by Access Type"
"Report_ID","TR_J3"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests"
"Report_Filters","Data_Type=Journal; Access_Method=Regular"
"Report_Attributes","Attributes_To_Show=Access_Type; "
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","Print_ISSN","Online_ISSN","URI","Access_Type","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Analytical Communications","Royal Society of Chemistry","","rsc.org","","","1364-5536","1359-7337","","Controlled","Total_Item_Investigations","1","0","0","0","0","1"
"Analytical Communications","Royal Society of Chemistry","","rsc.org","","","1364-5536","1359-7337","","Controlled","Total_Item_Requests","0","0","0","0","0","0"
"Analytical Communications","Royal Society of Chemistry","","rsc.org","","","1364-5536","1359-7337","","Controlled","Unique_Item_Investigations","1","0","0","0","0","1"
"Analytical Communications","Royal Society of Chemistry","","rsc.org","","","1364-5536","1359-7337","","Controlled","Unique_Item_Requests","0","0","0","0","0","0"
"Analytical Methods","Royal Society of Chemistry","","rsc.org","10.1039/1759-9679/2009","","1759-9660","1759-9679","","Controlled","Total_Item_Investigations","9","0","0","0","3","6"
"Analytical Methods","Royal Society of Chemistry","","rsc.org","10.1039/1759-9679/2009","","1759-9660","1759-9679","","Controlled","Total_Item_Requests","7","0","0","0","3","4"
"Analytical Methods","Royal Society of Chemistry","","rsc.org","10.1039/1759-9679/2009","","1759-9660","1759-9679","","Controlled","Unique_Item_Investigations","8","0","0","0","3","5"
"Analytical Methods","Royal Society of Chemistry","","rsc.org","10.1039/1759-9679/2009","","1759-9660","1759-9679","","Controlled","Unique_Item_Requests","6","0","0","0","3","3"
"Analytical Proceedings","Royal Society of Chemistry","","rsc.org","","","","0144-557X","","Controlled","Total_Item_Investigations","1","0","0","0","1","0"
"Analytical Proceedings","Royal Society of Chemistry","","rsc.org","","","","0144-557X","","Controlled","Total_Item_Requests","0","0","0","0","0","0"
"Analytical Proceedings","Royal Society of Chemistry","","rsc.org","","","","0144-557X","","Controlled","Unique_Item_Investigations","1","0","0","0","1","0"
"Analytical Proceedings","Royal Society of Chemistry","","rsc.org","","","","0144-557X","","Controlled","Unique_Item_Requests","0","0","0","0","0","0"
"Annual Reports on the Progress of Chemistry, Section A: Physical and Inorganic Chemistry","Royal Society of Chemistry","","rsc.org","","","","0308-6003","","Controlled","Total_Item_Investigations","1","0","0","0","1","0"
"Annual Reports on the Progress of Chemistry, Section A: Physical and Inorganic Chemistry","Royal Society of Chemistry","","rsc.org","","","","0308-6003","","Controlled","Total_Item_Requests","1","0","0","0","1","0"
"Annual Reports on the Progress of Chemistry, Section A: Physical and Inorganic Chemistry","Royal Society of Chemistry","","rsc.org","","","","0308-6003","","Controlled","Unique_Item_Investigations","1","0","0","0","1","0"
"Annual Reports on the Progress of Chemistry, Section A: Physical and Inorganic Chemistry","Royal Society of Chemistry","","rsc.org","","","","0308-6003","","Controlled","Unique_Item_Requests","1","0","0","0","1","0"
"Annual Reports Section A (Inorganic Chemistry)","Royal Society of Chemistry","","rsc.org","10.1039/1460-4760/1979","","0260-1818","1460-4760","","Controlled","Total_Item_Investigations","2","0","0","0","1","1"
"Annual Reports Section A (Inorganic Chemistry)","Royal Society of Chemistry","","rsc.org","10.1039/1460-4760/1979","","0260-1818","1460-4760","","Controlled","Total_Item_Requests","2","0","0","0","1","1"
"Annual Reports Section A (Inorganic Chemistry)","Royal Society of Chemistry","","rsc.org","10.1039/1460-4760/1979","","0260-1818","1460-4760","","Controlled","Unique_Item_Investigations","2","0","0","0","1","1"
"Annual Reports Section A (Inorganic Chemistry)","Royal Society of Chemistry","","rsc.org","10.1039/1460-4760/1979","","0260-1818","1460-4760","","Controlled","Unique_Item_Requests","2","0","0","0","1","1"
"Biomaterials Science","Royal Society of Chemistry","","rsc.org","10.1039/2047-4849/2013","","2047-4830","2047-4849","","Controlled","Total_Item_Investigations","2","0","0","0","1","1"
"Biomaterials Science","Royal Society of Chemistry","","rsc.org","10.1039/2047-4849/2013","","2047-4830","2047-4849","","Controlled","Total_Item_Requests","2","0","0","0","1","1"
"Biomaterials Science","Royal Society of Chemistry","","rsc.org","10.1039/2047-4849/2013","","2047-4830","2047-4849","","Controlled","Unique_Item_Investigations","2","0","0","0","1","1"
"Biomaterials Science","Royal Society of Chemistry","","rsc.org","10.1039/2047-4849/2013","","2047-4830","2047-4849","","Controlled","Unique_Item_Requests","2","0","0","0","1","1"
"Catalysis Science & Technology","Royal Society of Chemistry","","rsc.org","10.1039/2044-4761/2011","","2044-4753","2044-4761","","Controlled","Total_Item_Investigations","81","0","0","0","45","36"
"Catalysis Science & Technology","Royal Society of Chemistry","","rsc.org","10.1039/2044-4761/2011","","2044-4753","2044-4761","","Controlled","Total_Item_Requests","58","0","0","0","31","27"
"Catalysis Science & Technology","Royal Society of Chemistry","","rsc.org","10.1039/2044-4761/2011","","2044-4753","2044-4761","","Controlled","Unique_Item_Investigations","71","0","0","0","39","32"
"Catalysis Science & Technology","Royal Society of Chemistry","","rsc.org","10.1039/2044-4761/2011","","2044-4753","2044-4761","","Controlled","Unique_Item_Requests","50","0","0","0","26","24"
"Chemical Communications","Royal Society of Chemistry","","rsc.org","10.1039/1364-548X/1996","","1359-7345","1364-548X","","Controlled","Total_Item_Investigations","206","0","0","0","87","119"
"Chemical Communications","Royal Society of Chemistry","","rsc.org","10.1039/1364-548X/1996","","1359-7345","1364-548X","","Controlled","Total_Item_Requests","167","0","0","0","72","95"
"Chemical Communications","Royal Society of Chemistry","","rsc.org","10.1039/1364-548X/1996","","1359-7345","1364-548X","","Controlled","Unique_Item_Investigations","190","0","0","0","81","109"
"Chemical Communications","Royal Society of Chemistry","","rsc.org","10.1039/1364-548X/1996","","1359-7345","1364-548X","","Controlled","Unique_Item_Requests","151","0","0","0","66","85"
"Chemical Communications (London)","Royal Society of Chemistry","","rsc.org","","","","0009-241X","","Controlled","Total_Item_Investigations","2","0","0","0","1","1"
"Chemical Communications (London)","Royal Society of Chemistry","","rsc.org","","","","0009-241X","","Controlled","Total_Item_Requests","2","0","0","0","1","1"
"Chemical Communications (London)","Royal Society of Chemistry","","rsc.org","","","","0009-241X","","Controlled","Unique_Item_Investigations","2","0","0","0","1","1"
"Chemical Communications (London)","Royal Society of Chemistry","","rsc.org","","","","0009-241X","","Controlled","Unique_Item_Requests","2","0","0","0","1","1"
