"Report_Name","Journal Requests by YOP  (Excluding OA_Gold)"
"Report_ID","TR_J4"
"Release","5"
"Institution_Name","Ohio State Univ Libraries"
"Institution_ID","000100077"
"Metric_Types","Total_Item_Requests; Unique_Item_Requests"
"Report_Filters","Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","Print_ISSN","Online_ISSN","URI","YOP","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Advances in Civil Engineering Materials","","","astm.org","10.1520/ACEM20150030","","","2165-3984","","2016","Total_Item_Requests","1","0","0","0","1","0"
"Advances in Civil Engineering Materials","","","astm.org","10.1520/ACEM20150030","","","2165-3984","","2016","Unique_Item_Requests","1","0","0","0","1","0"
"Advances in Civil Engineering Materials","","","astm.org","10.1520/ACEM20160052","","","2165-3984","","0","Total_Item_Requests","1","0","0","0","0","1"
"Advances in Civil Engineering Materials","","","astm.org","10.1520/ACEM20160052","","","2165-3984","","0","Unique_Item_Requests","1","0","0","0","0","1"
"Cement, Concrete, and Aggregates","","","astm.org","10.1520/CCA10088J","","0149-6123","1945-7561","","1988","Total_Item_Requests","1","0","0","1","0","0"
"Cement, Concrete, and Aggregates","","","astm.org","10.1520/CCA10088J","","0149-6123","1945-7561","","1988","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Composites Technology and Research","","","astm.org","10.1520/CTR10453J","","0885-6804","1945-7537","","1995","Total_Item_Requests","2","0","0","0","2","0"
"Journal of Composites Technology and Research","","","astm.org","10.1520/CTR10453J","","0885-6804","1945-7537","","1995","Unique_Item_Requests","1","0","0","0","1","0"
"Geotechnical Testing Journal","","","astm.org","10.1520/GTJ11055J","","0149-6115","1945-7545","","2000","Total_Item_Requests","1","0","0","0","1","0"
"Geotechnical Testing Journal","","","astm.org","10.1520/GTJ11055J","","0149-6115","1945-7545","","2000","Unique_Item_Requests","1","0","0","0","1","0"
"Geotechnical Testing Journal","","","astm.org","10.1520/GTJ11078J","","0149-6115","1945-7545","","2002","Total_Item_Requests","1","0","0","0","1","0"
"Geotechnical Testing Journal","","","astm.org","10.1520/GTJ11078J","","0149-6115","1945-7545","","2002","Unique_Item_Requests","1","0","0","0","1","0"
"Geotechnical Testing Journal","","","astm.org","10.1520/GTJ11695","","0149-6115","1945-7545","","2004","Total_Item_Requests","1","0","0","0","1","0"
"Geotechnical Testing Journal","","","astm.org","10.1520/GTJ11695","","0149-6115","1945-7545","","2004","Unique_Item_Requests","1","0","0","0","1","0"
"Geotechnical Testing Journal","","","astm.org","10.1520/GTJ20140267","","0149-6115","1945-7545","","2015","Total_Item_Requests","1","0","0","0","1","0"
"Geotechnical Testing Journal","","","astm.org","10.1520/GTJ20140267","","0149-6115","1945-7545","","2015","Unique_Item_Requests","1","0","0","0","1","0"
"Geotechnical Testing Journal","","","astm.org","10.1520/GTJ20160289","","0149-6115","1945-7545","","2018","Total_Item_Requests","2","0","0","1","0","1"
"Geotechnical Testing Journal","","","astm.org","10.1520/GTJ20160289","","0149-6115","1945-7545","","2018","Unique_Item_Requests","2","0","0","1","0","1"
"Journal of ASTM International","","","astm.org","10.1520/JAI100428","","1546-962X","1546-962X","","2006","Total_Item_Requests","1","0","0","0","1","0"
"Journal of ASTM International","","","astm.org","10.1520/JAI100428","","1546-962X","1546-962X","","2006","Unique_Item_Requests","1","0","0","0","1","0"
"Journal of ASTM International","","","astm.org","10.1520/JAI101493","","1546-962X","1546-962X","","2008","Total_Item_Requests","1","0","1","0","0","0"
"Journal of ASTM International","","","astm.org","10.1520/JAI101493","","1546-962X","1546-962X","","2008","Unique_Item_Requests","1","0","1","0","0","0"
"Journal of ASTM International","","","astm.org","10.1520/JAI102860","","1546-962X","1546-962X","","2010","Total_Item_Requests","1","1","0","0","0","0"
"Journal of ASTM International","","","astm.org","10.1520/JAI102860","","1546-962X","1546-962X","","2010","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of ASTM International","","","astm.org","10.1520/JAI103463","","1546-962X","1546-962X","","2012","Total_Item_Requests","1","0","0","1","0","0"
"Journal of ASTM International","","","astm.org","10.1520/JAI103463","","1546-962X","1546-962X","","2012","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of ASTM International","","","astm.org","10.1520/JAI103493","","1546-962X","1546-962X","","2012","Total_Item_Requests","1","0","0","0","1","0"
"Journal of ASTM International","","","astm.org","10.1520/JAI103493","","1546-962X","1546-962X","","2012","Unique_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS10922J","","0022-1198","1556-4029","","1979","Total_Item_Requests","1","0","1","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS10922J","","0022-1198","1556-4029","","1979","Unique_Item_Requests","1","0","1","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS11702J","","0022-1198","1556-4029","","1984","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS11702J","","0022-1198","1556-4029","","1984","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS11886J","","0022-1198","1556-4029","","1986","Total_Item_Requests","1","0","1","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS11886J","","0022-1198","1556-4029","","1986","Unique_Item_Requests","1","0","1","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS11999J","","0022-1198","1556-4029","","1992","Total_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS11999J","","0022-1198","1556-4029","","1992","Unique_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS12119J","","0022-1198","1556-4029","","2005","Total_Item_Requests","1","0","1","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS12119J","","0022-1198","1556-4029","","2005","Unique_Item_Requests","1","0","1","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS12147J","","0022-1198","1556-4029","","1980","Total_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS12147J","","0022-1198","1556-4029","","1980","Unique_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS12733J","","0022-1198","1556-4029","","1989","Total_Item_Requests","2","2","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS12733J","","0022-1198","1556-4029","","1989","Unique_Item_Requests","2","2","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS12747J","","0022-1198","1556-4029","","1989","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS12747J","","0022-1198","1556-4029","","1989","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS12802J","","0022-1198","1556-4029","","1990","Total_Item_Requests","1","0","1","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS12802J","","0022-1198","1556-4029","","1990","Unique_Item_Requests","1","0","1","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS13226J","","0022-1198","1556-4029","","1992","Total_Item_Requests","1","0","0","0","0","1"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS13226J","","0022-1198","1556-4029","","1992","Unique_Item_Requests","1","0","0","0","0","1"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS13304J","","0022-1198","1556-4029","","1992","Total_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS13304J","","0022-1198","1556-4029","","1992","Unique_Item_Requests","1","0","0","0","1","0"
