Report_Name,Journal Requests (Excluding OA_Gold),,,,,,,,,,,,,,
Report_ID,TR_J1,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,
Institution_Name,,,,,,,,,,,,,,,
Institution_ID,mu-0000036,,,,,,,,,,,,,,
Metric_Types,Total_Item_Requests; Unique_Item_Requests,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular,,,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,
Reporting_Period,2018-01-01 to 2018-05-31,,,,,,,,,,,,,,
Created,03-07-18,,,,,,,,,,,,,,
Created_By,MPS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Metric_Type,Reporting_Period_Total,Jan-18,Feb-18,Mar-18,Apr-18,May-18
Analytical Communications,Royal Society of Chemistry,,rsc.org,,,5435,1359-7337,,Total_Item_Requests,0,0,0,0,0,0
Analytical Communications,Royal Society of Chemistry,,rsc.org,,,5435,1359-7337,,Total_Item_Requests,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
