Report_Name,Journal Usage by Access Type,,,,,,,,,,,,,,,
Report_ID,TR_J3,,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,,
Institution_Name,Johnson Matthey,,,,,,,,,,,,,,,
Institution_ID,mu-0000036,,,,,,,,,,,,,,,
Metric_Types,Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests,,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Method=Regular,,,,,,,,,,,,,,,
Report_Attributes,Attributes_To_Show=Access_Type; ,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,,
Reporting_Period,2018-01-01 to 2018-05-31,,,,,,,,,,,,,,,
Created,03-07-18,,,,,,,,,,,,,,,
Created_By,MPS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Access_Type,Metric_Type,Reporting_Period_Total,Jan-18,Feb-18,Mar-18,Apr-18,May-18
Analytical Communications,Royal Society of Chemistry,,rsc.org,,,1364-5536,1359-7337,,Controlled,Total_Item_Investigations,1,0,0,0,0,1
Analytical Communications,Royal Society of Chemistry,,rsc.org,,,1364-5536,1359-7337,,Controlled,Total_Item_Investigations,0,0,0,0,0,1
